id,nace_kodu,sektor,hedef_yatirim,oncelikli_yatirim,yuksek_teknoloji,orta_yuksek_teknoloji,sartlar,bolge_1,bolge_2,bolge_3,bolge_4,bolge_5,bolge_6,created_at,updated_at
4,01.19.99,Başka yerde sınıflandırılmamış tek yıllık diğer bitkisel ürünlerin yetiştirilmesi,true,true,false,false,"Hedef; 1) Sera Yatırımlarında;
a) 1 ve 2. Bölgelerde asgari 20 dekar,
b) 3. Bölgede asgari 15 dekar,
c) 4 ve 5. Bölgelerde asgari 10 dekar,
d) 6. Bölgede asgari 5 dekar ve üzeri olması şartı aranır.
2) Yapay ışıkla fotosentez sağlanan kontrollü bitkisel üretim yatırımlarında katmanlarının toplam alanının asgari 1.000 m2 olması şartı aranır.
Diğer yatırımlar desteklenmez.
Öncelikli; 25 dekar ve üzeri yurtiçinde üretilen sera teknolojilerini ihtiva eden otomasyona dayalı (bilgisayar kontrollü iklimlendirme, sulama, gübreleme ve ilaçlama sistemi ihtiva eden) topraksız sera yatırımları.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
5,01.41.31,Sütü sağılan büyükbaş hayvan yetiştiriciliği (sütü için inek ve manda yetiştiriciliği),true,false,false,false,"a) 1, 2 ve 3. Bölgelerde asgari 500 adet/dönem damızlık veya süt yönlü büyükbaş hayvan yetiştiriciliği şartı aranır.
b) 4 ve 5. Bölgelerde asgari 300 adet/dönem damızlık veya süt yönlü büyükbaş hayvan yetiştiriciliği şartı aranır.
c) 6. Bölgede asgari 150 adet/dönem damızlık veya süt yönlü büyükbaş hayvan yetiştiriciliği şartı aranır.
Ayrıca, tevsi ve komple yeni yatırım cinsindeki yatırımlar, yem bitkileri yetiştiriciliği ve/veya yem
tesisi ve/veya süt işleme yatırımları ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
6,01.42.09,Diğer sığır ve manda yetiştiriciliği (sütü için yetiştirilenler hariç),true,false,false,false,"a) 1, 2, 3, 4 ve 5. Bölgelerde asgari 500 adet/dönem et yönlü büyükbaş hayvan yetiştiriciliği şartı aranır.
b) 6. Bölgede asgari 150 adet/dönem et yönlü büyükbaş hayvan yetiştiriciliği şartı aranır.
Ayrıca, tevsi ve komple yeni yatırım cinsindeki yatırımlar; yem bitkileri yetiştiriciliği ve/veya yem tesisi ve/veya kesimhane yatırımları ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
7,01.45.01,"Koyun ve keçi (davar) yetiştiriciliği (işlenmemiş süt, kıl, tiftik, yapağı, yün vb. üretimi dahil)",true,false,false,false,"a) 1, 2 ve 3. Bölgelerde asgari 2.500 adet/dönem damızlık veya et yönlü veya süt yönlü küçükbaş hayvan yetiştiriciliği şartı aranır.
b) 4 ve 5. Bölgelerde asgari 1.500 adet/dönem damızlık veya et yönlü veya süt yönlü küçükbaş hayvan yetiştiriciliği şartı aranır.
c) 6. Bölgede asgari 1.000 adet/dönem damızlık veya et yönlü veya süt yönlü küçükbaş hayvan yetiştiriciliği şartı aranır.
Ayrıca, tevsi ve komple yeni yatırım cinsindeki yatırımlar; yem bitkileri yetiştiriciliği ve/veya yem tesisi ve/veya et yönlü küçükbaş hayvan yetiştiriciliği yatırımları kesimhane ve/veya süt yönlü küçükbaş
hayvan yetiştiriciliği yatırımları süt işleme yatırımları ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
8,01.47.01,"Kümes hayvanlarının yetiştirilmesi (tavuk, hindi, ördek, kaz ve beç tavuğu vb.) Kümes hayvanlarından yumurta üretilmesi",true,false,false,false,"1)  Damızlık kümes hayvanları yetiştiriciliğinin kuluçkahane ile entegre olması şartı aranır.
2) 1, 2, 3, 4 ve 5. Bölgelerde asgari 200.000 adet/dönem et yönlü kümes hayvanları yetiştiriciliğinin kesimhane ile entegre olması şartı aranır.
3)  6. Bölgede asgari 100.000 adet/dönem et yönlü kümes hayvanları yetiştiriciliğinin kesimhane ile entegre olması şartı aranır.
4) Ayrıca, tevsi ve komple yeni yatırım cinsindeki yatırımlar; yem tesisi ve/veya et yönlü kümes hayvanları yetiştiriciliği yatırımları ileri işleme ve/veya soğuk hava deposu yatırımları ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
9,01.47.03,"Kümes hayvanlarının yetiştirilmesi (tavuk, hindi, ördek, kaz ve beç tavuğu vb.) Kümes hayvanlarından yumurta üretilmesi",true,false,false,false,"1)  Damızlık kümes hayvanları yetiştiriciliğinin kuluçkahane ile entegre olması şartı aranır.
2) 1, 2, 3, 4 ve 5. Bölgelerde asgari 200.000 adet/dönem yumurta yönlü kümes hayvanları yetiştiriciliği şartı aranır.
3) 6. Bölgede asgari asgari 100.000 adet/dönem yumurta yönlü kümes hayvanları yetiştiriciliği şartı aranır.
4) Ayrıca, tevsi ve komple yeni yatırım cinsindeki yatırımlar; yem tesisi ve/veya yumurta yönlü kümes hayvanları yetiştiriciliği yatırımları soğuk hava deposu ve/veya yumurta tasnif- paketleme yatırımları ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
10,03.2,Su ürünleri yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
11,03.21,Deniz ürünleri yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
12,03.21.01,Denizde yapılan balık yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
13,03.21.02,Denizde yapılan diğer su ürünleri yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
14,03.22,Tatlı su ürünleri yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
15,03.22.01,Tatlı sularda yapılan balık yetiştiriciliği,true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
16,03.22.02,Tatlısu ürünleri yetiştiriciliği (balık hariç),true,false,false,false,"Tevsi ve komple yeni yatırım cinsindeki yatırımlar, balık yemi tesisi ile entegre edilebilir.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
17,05.10.01,Taş kömürü madenciliği,true,true,false,false,"Maden Kanununa  istinaden  düzenlenmiş  geçerli  arama  ruhsatı veya sertifikasına sahip yatırımcıların ruhsatlı sahalarında yapacağı  maden  arama  yatırımları  ile  ham  petrol  ve doğalgaz    çıkarımı    yatırımları    desteklenir. 3213 sayılı Kanuna istinaden düzenlenmiş geçerli arama ruhsatı veya sertifikasına sahip yatırımcıların ruhsatlı sahalarında yapacağı maden arama yatırımları ve Maden istihraç yatırımları ve/veya maden işleme yatırımları öncelikli yatırımlardandır. Ancak, İstanbul ilinde gerçekleştirilecek yatırımlar desteklenmez.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
18,05.10.02,Taş kömürü madenciliği için maden sahasının hazırlanması,true,true,false,false,"Maden Kanununa  istinaden  düzenlenmiş  geçerli  arama  ruhsatı veya sertifikasına sahip yatırımcıların ruhsatlı sahalarında yapacağı  maden  arama  yatırımları  ile  ham  petrol  ve doğalgaz    çıkarımı    yatırımları    desteklenir. 3213 sayılı Kanuna istinaden düzenlenmiş geçerli arama ruhsatı veya sertifikasına sahip yatırımcıların ruhsatlı sahalarında yapacağı maden arama yatırımları ve Maden istihraç yatırımları ve/veya maden işleme yatırımları öncelikli yatırımlardandır. Ancak, İstanbul ilinde gerçekleştirilecek yatırımlar desteklenmez.",12000000,12000000,6000000,6000000,6000000,6000000,2025-06-28 13:25:57.347603+00,2025-06-28 13:25:57.347603+00
